,participant_id,task_idx,task_status,results_responses_pos,results_responses_fix,results_rt,results_targetvalue_stim,results_targetvalue_fixation,results_target_distance,results_rt_fixation
0,15,4,PRE_TEST,"1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0","0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0","2156,717,631,808,1424,852,638,547,568,695,554,1173,1194,844,1511,806,693,785,685,706,677,1021,935,645,1462,614,1062,614,633,748,810,708,596,592,656,544,588,961,795,636","1,2,1,0,1,1,2,0,3,0,3,0,2,0,1,0,1,2,1,2,3,2,2,2,2,3,0,1,2,2,1,3,0,1,2,1,2,2,0,1","0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0","208,104,104,208,104,208,208,104,104,208,104,208,104,208,104,208,208,104,104,208,104,208,208,104,208,104,208,104,104,208,208,104,104,208,208,104,208,104,104,208","1808,1115,1045,2849,970,4587,925,1368,705,597,1011,447,1098,806,860,728,762,793,929,505,808,843,1463,1295,782,762,859,880,908,777,615,974,861,496,1257,647,759,697,787,543"
1,15,4,POST_TEST,"0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1","1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0","473,590,780,548,683,583,523,568,525,499,836,652,500,536,996,534,778,660,619,563,615,3711,1043,728,799,511,1130,567,532,524,522,614,1982,585,661,911,616,848,564,518","1,2,0,0,0,3,3,2,3,0,1,3,3,3,2,0,0,2,1,3,2,3,0,2,0,1,1,3,3,3,2,2,3,2,0,2,3,3,2,1","1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0","208,104,104,208,104,208,104,208,104,208,104,208,104,208,208,104,104,208,208,104,104,208,104,208,208,104,208,104,104,208,104,208,104,208,208,104,208,104,208,104","783,725,706,692,796,1057,913,1108,874,561,691,678,1456,890,771,906,825,797,1236,861,962,912,864,1465,1008,1026,797,791,1143,1135,969,862,875,787,1027,732,658,808,849,939"
2,51,7,PRE_TEST,"1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0","0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0","909,1917,816,497,1819,1560,2411,756,4755,759,2205,2246,563,1098,1199,617,566,939,1331,917,529,758,568,1535,533,720,528,578,601,852,837,441,478,492,481,713,1546,2070,1291,3659","1,1,3,3,2,3,3,2,2,1,1,1,2,2,3,2,0,0,3,0,2,0,0,1,2,2,2,3,1,2,0,1,3,3,0,0,0,2,2,2","0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0","189,95,189,95,95,189,189,95,189,95,95,189,189,95,95,189,189,95,95,189,189,95,95,189,95,189,189,95,95,189,189,95,95,189,189,95,189,95,189,95","846,908,1293,889,1067,695,895,732,720,818,1209,2212,911,938,1005,691,745,809,626,743,727,994,958,792,529,654,912,793,494,940,759,830,827,664,895,810,726,1411,798,891"
3,51,7,POST_TEST,"0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1","0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1","862,707,1049,699,1579,1039,1251,1771,2518,770,1455,809,762,1030,966,991,807,728,699,813,750,815,768,920,1028,660,814,890,815,782,709,1043,688,1051,741,733,1259,911,845,1035","2,1,1,3,1,2,1,1,3,3,3,1,3,0,1,2,1,3,0,2,0,0,1,0,0,1,2,0,1,1,3,3,3,3,2,0,1,1,0,2","0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1","151,75,151,75,75,151,75,151,151,75,151,75,75,151,151,75,75,151,151,75,75,151,75,151,75,151,75,151,151,75,75,151,75,151,151,75,151,75,151,75","868,971,928,1161,917,1665,1293,1395,892,811,1774,833,884,1280,776,712,961,755,1232,1830,916,924,826,1687,1051,1150,1281,736,912,1628,767,934,1037,980,787,778,1034,1287,857,876"
4,48,2,PRE_TEST,"0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1","1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1","968,648,584,515,650,823,916,939,1294,1466,697,1163,1014,1206,1048,775,616,651,598,818,725,598,592,1116,709,1155,700,722,705,599,667,572,1098,504,738,1075,577,678,530,821","2,3,3,0,1,0,0,3,1,3,0,2,3,0,3,2,3,0,3,0,3,2,1,0,1,3,0,0,1,1,2,0,0,2,0,2,3,2,2,0","1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1","189,94,189,94,94,189,94,189,94,189,94,189,189,94,189,94,189,94,94,189,189,94,94,189,189,94,189,94,189,94,189,94,189,94,94,189,94,189,189,94","1608,1375,1071,906,1241,957,689,2090,910,920,610,546,660,647,1705,989,595,607,649,395,602,872,1007,1378,903,783,944,1602,655,913,1008,1560,565,735,553,518,760,920,703,760"
5,48,2,POST_TEST,"1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0","0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1","1086,658,1156,679,593,582,749,1030,1018,799,582,833,761,856,1561,735,551,897,708,620,627,595,432,499,414,960,956,604,494,425,626,579,511,759,562,584,899,719,520,741","3,2,1,3,2,2,1,2,3,3,1,1,3,1,3,3,2,3,3,0,3,0,1,2,1,0,1,2,3,1,2,3,1,1,0,2,1,0,0,0","0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1","189,94,94,189,94,189,189,94,189,94,94,189,94,189,94,189,94,189,189,94,94,189,94,189,94,189,94,189,189,94,94,189,189,94,189,94,94,189,189,94","666,551,599,998,843,1238,596,619,836,602,1314,552,533,921,1376,927,969,939,919,905,1229,849,572,584,514,645,554,586,591,707,845,598,554,702,544,552,897,648,923,1122"
6,68,1,PRE_TEST,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1","649,563,447,598,434,651,530,610,497,579,519,483,645,656,467,501,572,431,496,471,730,606,996,829,585,462,327,496,571,897,389,419,568,753,416,1283,372,595,705,492","2,1,2,2,2,2,2,1,3,3,3,1,1,1,2,1,2,1,1,2,1,0,3,3,0,1,3,2,1,3,2,0,2,1,3,2,3,2,3,1","0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1","129,257,129,257,129,257,129,257,257,129,257,129,129,257,129,257,257,129,257,129,257,129,257,129,257,129,257,129,129,257,257,129,129,257,129,257,129,257,257,129","1462,890,661,846,711,675,600,608,835,576,709,587,716,854,671,643,761,605,667,555,678,641,770,603,640,892,506,930,726,614,810,605,614,645,625,647,697,746,679,688"
7,68,1,POST_TEST,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0","0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0","324,677,472,418,423,535,482,388,585,439,411,857,552,564,495,323,623,1354,620,472,690,390,499,389,493,701,496,493,502,469,675,518,543,690,776,620,375,606,608,848","3,2,2,3,0,3,0,1,2,1,0,0,0,0,0,0,3,3,2,3,1,2,3,0,3,0,1,0,2,3,2,3,0,0,0,2,2,3,1,0","0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0","257,129,257,129,129,257,257,129,257,129,129,257,129,257,257,129,129,257,257,129,257,129,129,257,129,257,129,257,257,129,257,129,129,257,129,257,129,257,257,129","818,743,550,655,532,653,977,566,507,442,561,642,627,724,589,814,609,639,574,507,1028,984,696,842,609,608,715,543,572,538,662,941,614,689,611,621,674,645,669,764"
8,70,1,PRE_TEST,"1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1","0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1","1381,681,1059,1099,670,733,518,6095,740,915,554,647,607,522,508,453,694,444,512,662,1155,451,503,452,628,647,620,451,442,688,731,483,609,450,524,453,483,449,772,558","3,2,3,3,2,2,2,2,1,1,3,2,3,2,0,2,1,2,2,3,2,3,0,1,0,3,0,0,2,3,2,0,0,0,3,0,2,0,1,2","0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1","268,134,134,268,268,134,268,134,134,268,268,134,134,268,268,134,268,134,134,268,268,134,268,134,134,268,134,268,268,134,134,268,268,134,134,268,134,268,134,268","2407,1158,849,1292,724,959,591,777,665,646,723,372,392,642,601,688,466,483,392,497,1329,506,827,427,613,552,542,756,514,1908,2392,542,293,393,331,413,529,360,324,511"
9,70,1,POST_TEST,"1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1","1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1","794,565,501,1250,601,575,526,467,579,472,460,674,530,505,549,523,512,548,495,483,484,506,595,467,472,542,613,535,567,565,548,583,451,524,421,490,468,583,673,572","2,3,2,3,3,2,2,1,2,0,2,3,1,3,3,3,2,0,2,2,3,3,2,0,3,3,1,2,2,2,0,2,2,3,2,1,3,0,0,1","1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1","134,268,134,268,134,268,268,134,268,134,134,268,268,134,134,268,268,134,268,134,134,268,268,134,268,134,134,268,268,134,134,268,134,268,134,268,268,134,268,134","1163,575,525,623,858,591,562,610,595,499,547,809,658,589,674,473,341,490,608,505,828,766,480,788,523,524,682,772,506,495,493,723,380,523,486,607,424,375,1139,938"
10,72,5,PRE_TEST,"0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0","1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1","1140,1140,687,670,1159,891,792,1548,1125,627,2058,1169,843,728,778,844,637,2230,1331,851,686,998,940,685,716,715,1260,1111,899,1031,681,1076,664,706,595,615,681,1104,629,908","3,0,2,3,1,1,0,1,3,0,3,1,3,2,1,0,1,3,3,3,1,3,3,1,1,0,1,1,2,3,2,1,2,3,0,1,2,2,3,2","1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1","345,172,172,345,345,172,172,345,345,172,345,172,345,172,172,345,172,345,345,172,172,345,345,172,345,172,345,172,345,172,172,345,172,345,345,172,172,345,172,345","1072,2511,1418,2585,1493,4590,1275,1193,643,1116,1144,825,2909,1072,3696,765,768,915,3437,2701,801,1136,1065,1404,1215,2746,1079,862,1197,817,673,711,767,1266,693,726,555,5815,1187,1672"
11,72,5,POST_TEST,"1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0","0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1","979,1055,630,1551,1819,885,666,1096,1004,1621,1020,1240,679,1983,1401,818,773,1791,1269,1027,1424,914,948,1273,727,721,2111,1501,1058,823,1281,1285,696,1025,999,628,865,1079,2371,1132","2,0,3,3,3,0,3,3,3,3,2,2,0,0,0,3,2,2,3,1,1,0,0,2,0,1,3,2,1,2,0,2,2,0,1,2,1,1,1,2","0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1","345,172,172,345,345,172,345,172,172,345,345,172,172,345,345,172,172,345,172,345,345,172,345,172,345,172,345,172,172,345,345,172,345,172,345,172,172,345,345,172","2636,1911,1487,1161,1453,1416,1213,1339,1498,1734,972,1388,1186,1352,1255,895,1073,797,952,883,1143,1195,847,1069,951,765,768,1731,1332,922,995,1168,888,815,929,734,841,990,1205,1063"
12,82,4,PRE_TEST,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0","0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1","1501,1612,1552,2161,1376,1390,1405,1563,1679,1500,1330,1302,1408,1735,1300,1407,1743,1231,1564,1440,1366,1301,1481,1796,1400,1714,1690,1567,1181,1532,1411,1366,1387,1782,1430,1897,1371,1277,1269,1449","1,1,1,3,0,1,1,1,3,1,1,1,2,0,1,1,0,0,1,0,3,1,3,0,3,2,3,3,3,0,1,3,0,0,0,1,1,3,2,1","0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1","232,116,116,232,116,232,116,232,232,116,116,232,116,232,116,232,232,116,116,232,232,116,116,232,232,116,232,116,116,232,232,116,116,232,116,232,232,116,116,232","3179,1797,1459,2266,1976,1626,1762,2228,1964,1994,1226,1142,1385,1308,1860,3491,2531,1745,1828,2025,1512,2410,3802,2728,1959,1846,3218,1944,4644,1428,1847,2708,1356,2043,1666,1748,1427,1564,3210,1858"
